ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Number
maiw1250,Maiwa (Indonesia),,-3.59444,119.978,maiw1250,,286
mali1283,Malimpung,,-3.6996,119.76,mali1283,,287
bugi1244,Buginese,,-4.47,119.977,bugi1244,,288
camp1262,Campalagian,,-4.016667,119.623611,camp1262,,289
emba1238,Embaloh,,1.3156,112.63,emba1238,,290
tama1335,Taman (Indonesia),,1.00003,112.975,tama1335,,291
coas1295,Coastal Konjo,,-5.41532,120.304,coas1295,,292
high1275,Highland Konjo,,-5.26559,119.928,high1275,,293
bent1237,Bentong,,-4.76004,119.806,bent1237,,294
maka1311,Makasar,,-5.65551,119.838,maka1311,,295
sela1260,Selayar,,-6.10145,120.496,sela1260,,296
basa1286,Basap,,1.41405,117.942,basa1286,,297
inab1237,Inabaknon,,12.4264,124.166,inab1237,,298
indo1317,Indonesian Bajau,,-3.68664,122.253,indo1317,,299
mapu1244,Mapun,,6.09061,118.75,mapu1244,,300
west2560,West Coast Bajau,,6.00631,116.124,west2560,,301
bala1311,Balangingi,,6.011614,121.686646,bala1311,,302
cent2092,Central Sama,,7.004574,118.455978,cent2092,,303
sout2918,Southern Sama,,4.755836,119.483887,sout2918,,304
pang1291,Pangutaran Sama,,6.27167,120.536,pang1291,,305
yaka1277,Yakan,,6.531023,122.021729,yaka1277,,306
ampa1239,Ampanang,,-0.79259,116.349,ampa1239,,307
tunj1244,Tunjung,,-0.29048,115.883,tunj1244,,308
dusu1269,Dusun Malang,,-0.85277,115.392,dusu1269,,309
lawa1257,Lawangan,,-1.80261,115.876,lawa1257,,310
tawo1243,Tawoyan,,-1.30017,115.204,tawo1243,,311
dusu1271,Dusun Deyah,,-1.95514,115.578,dusu1271,,312
kohi1250,Kohin,,-1.43973,111.905,kohi1250,,313
otda1235,Ot Danum,,-0.3955,113.469,otda1235,,314
sian1254,Siang,,-0.38398,114.693,sian1254,,315
baku1263,Bakumpai,,-1.98842,114.77,baku1263,,316
ngaj1237,Ngaju,,-1.58463,112.794,ngaj1237,,317
dusu1267,Dusun Witu,,-1.57408,114.979,dusu1267,,318
